State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,12/03/2025,5816,5986,5909,123
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,13/03/2025,3276,3550,3350,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,17/03/2025,3313,3323,3317,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,29/03/2025,3303,3303,3303,114
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,16/04/2025,2161,2229,2174,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,28/04/2025,2011,2161,2036,5
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,03/04/2025,2182,2355,2295,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,21/04/2025,2148,2369,2299,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,23/04/2025,2008,2372,2319,4
Karnataka,Bellary,Kottur,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,05/04/2025,4169,4848,4395,49
Karnataka,Bellary,Kottur,Groundnut,Natte,FAQ,15/04/2025,2091,6250,5231,10
Karnataka,Bellary,Kottur,Groundnut,Natte,FAQ,25/04/2025,2019,6110,4624,10
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,15/04/2025,3909,6869,5435,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,22/04/2025,4229,7229,5553,14
Karnataka,Bellary,Kottur,"Foxtail Millet(Navane)","Navane Hybrid",FAQ,07/04/2025,2966,2966,2966,121
Karnataka,Bellary,Kottur,"Foxtail Millet(Navane)","Navane Hybrid",FAQ,16/04/2025,2756,3122,3094,121
Karnataka,Bellary,Kottur,"Foxtail Millet(Navane)","Navane Hybrid",FAQ,17/04/2025,3125,3125,3125,121
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,03/04/2025,3303,3303,3303,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,21/04/2025,3232,3232,3232,114
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,26/04/2025,2203,2203,2203,114
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,19/04/2025,2789,3351,3058,30
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,24/04/2025,6239,6469,6365,15
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,21/04/2025,1698,6581,6294,15
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,28/04/2025,5389,6109,5849,15
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,26/04/2025,1819,1819,1819,28
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,03/04/2025,6476,6530,6512,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,05/04/2025,6429,6429,6429,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,24/04/2025,5066,5066,5066,92
Karnataka,Bellary,Kottur,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,24/03/2025,2111,2111,2111,28
Karnataka,Bellary,Kottur,Cotton,GCH,FAQ,13/03/2025,4650,6410,5184,15
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,01/03/2025,1506,2388,2353,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,13/03/2025,2196,2418,2371,4
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,21/03/2025,2100,2369,2169,4
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,01/03/2025,3333,5686,5602,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-2",03/03/2025,5451,5706,5630,6
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,29/03/2025,5739,5800,5799,6
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,14/03/2025,4000,8019,6141,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,18/03/2025,3000,7529,5757,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,25/03/2025,4319,7449,5847,14
Karnataka,Bellary,Kottur,Sunflower,Hybrid,FAQ,28/03/2025,3000,6729,5280,14
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,19/03/2025,2091,2139,2115,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,29/03/2025,2052,2052,2052,5
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid","Ref grade-2",04/03/2025,1921,2161,2070,5
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,19/03/2025,2402,3109,2853,30
Karnataka,Bellary,Kottur,"Ragi (Finger Millet)",Hybrid,FAQ,24/03/2025,2050,3110,2958,30
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,13/03/2025,6612,6612,6612,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,15/03/2025,6412,6612,6545,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,24/03/2025,4596,6419,6177,92
