State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,03/04/2025,200,200,200,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,04/04/2025,300,300,300,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,06/04/2025,300,300,300,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,13/04/2025,400,400,400,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,25/04/2025,400,400,400,173
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,19/04/2025,5200,5200,5200,74
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,21/04/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Chali,FAQ,12/04/2025,20000,20000,20000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,07/04/2025,10000,11000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,22/04/2025,11000,11000,11000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,15/04/2025,10500,10500,10500,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,29/04/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,02/05/2025,0,0,2000,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,13/05/2025,0,0,2000,2
Karnataka,Mandya,"K.R. Pet",Rice,Coarse,FAQ,30/05/2025,2670,2670,2670,3
Karnataka,Mandya,"K.R. Pet",Onion,Onion,FAQ,08/05/2025,3000,3000,3000,23
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,02/05/2025,30000,30000,30000,138
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,09/05/2025,30000,30000,30000,138
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Chali,FAQ,02/05/2025,19000,19000,19000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Chali,FAQ,10/05/2025,22000,22000,22000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Chali,FAQ,29/05/2025,24000,24000,24000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Pudi,FAQ,14/05/2025,16000,16000,16000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Rashi,FAQ,19/05/2025,25167,25167,25167,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,07/05/2025,10000,10200,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,08/05/2025,10000,11000,11000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,20/05/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,03/05/2025,300,300,300,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,07/05/2025,1500,1500,1500,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,12/05/2025,300,300,300,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,18/05/2025,300,300,300,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,25/05/2025,500,500,500,173
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,06/05/2025,1200,1200,1200,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,09/05/2025,1000,1700,1000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,16/05/2025,2500,2500,2500,159
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,FAQ,06/05/2025,4600,5150,4900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,07/05/2025,4100,4650,4370,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,28/05/2025,4200,4800,4530,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,29/05/2025,4200,4800,4500,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,31/05/2025,4300,4750,4550,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,15/05/2025,4450,5030,4850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,24/05/2025,4400,5150,4850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,29/05/2025,4250,5230,4800,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,06/05/2025,4850,5050,4950,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,14/05/2025,4500,4870,4700,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,26/05/2025,4400,4650,4500,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,29/05/2025,5000,5000,5000,74
Karnataka,Mandya,"K.R. Pet",Copra,Copra,FAQ,18/05/2025,18100,18300,18300,129
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,08/05/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,24/05/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,13/05/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Rice,"Broken Rice",Local,01/07/2025,2200,2200,2200,3
Karnataka,Mandya,"K.R. Pet",Rice,Coarse,FAQ,02/06/2025,2670,2670,2670,3
Karnataka,Mandya,"K.R. Pet",Rice,Coarse,Local,10/07/2025,2560,2560,2560,3
Karnataka,Mandya,Srirangapattana,Rice,"Broken Rice",FAQ,21/06/2025,2400,2400,2400,3
Karnataka,Mandya,"K.R. Pet","Cowpea (Lobia/Karamani)","Cowpea (Whole)",Local,16/07/2025,5300,5300,5300,92
Karnataka,Mandya,"K.R. Pet","Cowpea (Lobia/Karamani)","Cowpea (Whole)",Local,21/07/2025,5300,5300,5300,92
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,FAQ,16/06/2025,3850,4790,4350,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,FAQ,24/06/2025,3600,4130,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,FAQ,26/06/2025,3650,4080,3820,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,FAQ,30/06/2025,3650,4050,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,Local,08/07/2025,3700,4580,4250,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,Local,16/07/2025,3750,4200,4000,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,Local,18/07/2025,3700,4280,4100,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Achhu,Local,21/07/2025,3730,4380,4050,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,02/06/2025,4400,4800,4600,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,03/06/2025,4350,4800,4630,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,04/06/2025,4200,4800,4600,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,06/06/2025,4200,4600,4450,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,13/06/2025,4100,4500,4300,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,24/06/2025,3700,4300,4000,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,FAQ,30/06/2025,3600,4150,3850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,Local,07/07/2025,3600,4050,3820,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Kurikatu,Local,15/07/2025,3700,4050,3850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,10/06/2025,3950,5095,4750,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,13/06/2025,3600,4745,4200,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,17/06/2025,3600,4050,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,18/06/2025,3700,4120,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,20/06/2025,3775,4030,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,25/06/2025,3700,3890,3800,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,FAQ,27/06/2025,3600,4080,3800,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,Local,01/07/2025,3600,3910,3730,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,Local,07/07/2025,3600,3960,3750,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,Local,14/07/2025,3750,4000,3850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Other,Local,21/07/2025,3750,3840,3800,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,01/07/2025,3700,4040,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,17/06/2025,3900,4350,4100,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,25/06/2025,4080,4380,4200,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,FAQ,27/06/2025,3800,4330,4000,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,Local,02/07/2025,3700,4100,3850,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,Local,03/07/2025,3700,4030,3800,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,Local,05/07/2025,3800,4080,3900,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,Local,21/07/2025,3750,4200,4000,74
Karnataka,Mandya,Mandya,Gur(Jaggery),Yellow,Local,22/07/2025,3800,3800,3800,74
Karnataka,Mandya,"K.R. Pet","Cowpea (Lobia/Karamani)","Cowpea (Whole)",Local,02/07/2025,5000,5000,5000,92
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,02/06/2025,0,0,2000,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,13/06/2025,0,0,2500,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,29/06/2025,0,0,2250,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,30/06/2025,0,0,2000,2
Karnataka,Mandya,"K.R. Pet","Sesamum(Sesame,Gingelly,Til)",Black,Local,09/07/2025,0,0,8200,11
Karnataka,Mandya,"K.R. Pet","Sesamum(Sesame,Gingelly,Til)",Black,Local,12/07/2025,0,0,8400,11
Karnataka,Mandya,"K.R. Pet","Sesamum(Sesame,Gingelly,Til)",Black,Local,16/07/2025,0,0,8200,11
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,Local,03/07/2025,2000,2000,2000,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,Local,15/07/2025,1500,1800,1800,78
Karnataka,Mandya,"K.R. Pet","Tender Coconut","Tender Coconut",Local,05/07/2025,8000,40000,15000,200
Karnataka,Mandya,"K.R. Pet","Tender Coconut","Tender Coconut",Local,09/07/2025,8000,40000,15000,200
Karnataka,Mandya,"K.R. Pet","Tender Coconut","Tender Coconut",Local,20/07/2025,8000,40000,15000,200
Karnataka,Mandya,Srirangapattana,"Tender Coconut","Tender Coconut",Medium,30/06/2025,2300,2300,2300,200
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,02/06/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,12/06/2025,1500,1500,1500,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,Local,11/07/2025,1500,2000,1500,78
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,03/06/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,02/06/2025,30000,30000,30000,138
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,07/06/2025,8000,40000,15000,138
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,FAQ,20/06/2025,28000,30000,28000,138
Karnataka,Mandya,"K.R. Pet",Coconut,Grade-I,Local,11/07/2025,28000,30000,30000,138
Karnataka,Mandya,Malavalli,Coconut,Coconut,FAQ,11/06/2025,15000,19000,16000,138
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Pudi,FAQ,27/06/2025,13000,13000,13000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,01/07/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,17/06/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,FAQ,22/06/2025,10000,10000,10000,140
Karnataka,Mandya,"K.R. Pet",Arecanut(Betelnut/Supari),Sippegotu,Local,06/07/2025,10000,10000,10000,140
