State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,28/01/2025,5709,5831,5761,6
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,03/01/2025,7109,8820,8565,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,09/01/2025,6859,8340,7670,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,11/01/2025,7169,8351,7681,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,25/01/2025,6301,7851,7308,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,02/01/2025,7459,8760,7962,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,25/01/2025,6011,7939,6998,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,07/01/2025,6711,8781,8292,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,16/01/2025,6669,8240,7007,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,24/01/2025,6501,8051,7415,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,28/01/2025,6689,7800,7181,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,07/01/2025,6356,8323,7698,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,"Ref grade-1",31/01/2025,6811,7700,7004,49
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,02/01/2025,6811,8175,7563,9
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,24/01/2025,5001,7100,5107,9
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,25/01/2025,5599,5821,5795,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",31/01/2025,5750,5750,5750,6
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,02/01/2025,5169,6299,5760,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,03/01/2025,5319,6139,5744,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,07/01/2025,4449,6229,5705,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,21/01/2025,4809,6289,5605,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,28/01/2025,4869,5897,5260,10
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",30/01/2025,5339,5869,5665,6
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,08/01/2025,6311,8731,8125,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,"Ref grade-1",30/01/2025,6469,7861,6763,49
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,15/02/2025,4937,6399,5802,10
